X,Y,portid,portname,country,ISO3,continent,fullname,lat,lon,vessel_count_total,vessel_count_container,vessel_count_dry_bulk,vessel_count_general_cargo,vessel_count_RoRo,vessel_count_tanker,industry_top1,industry_top2,industry_top3,share_country_maritime_import,share_country_maritime_export,LOCODE,pageid,countrynoaccents,ObjectId
15147311.1,4254923.852,port1325,Tsuruga,Japan,JPN,Asia & Pacific,"Tsuruga, Japan",35.66719379,136.0706107,481,46,98,121,169,45,Mineral Products,Wood & Wood Products,Vegetable Products,0.45,0.08,,3b1f40eb8acd452ab6229331302891fe,Japan,1
10996330.25,193165.4056,port1198,Sibolga,Indonesia,IDN,Asia & Pacific,"Sibolga, Indonesia",1.734969159,98.78171534,91,29,1,5,0,54,Mineral Products,Prepared Foodstuffs & Beverages,Vegetable Products,0.01,0,,4d00b008b4be4068bf8a19d7da6e8cf6,Indonesia,2
12063063.07,2465268.522,port339,Fang-Cheng,China,CHN,Asia & Pacific,"Fang-Cheng, China",21.61420534,108.3643393,1670,10,1251,228,0,180,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.29,0.63,,266042b244cf452a89f4a2de14f3da2f,China,3
14606584.81,4021402.441,port1335,Ube,Japan,JPN,Asia & Pacific,"Ube, Japan",33.94487467,131.2131838,4366,9,1154,1107,0,2095,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0.75,1.72,,f3f6725ef00e4d3f8f9c93c45258667e,Japan,4
18741773.51,-5875427.587,port153,Bluff Harbor,New Zealand,NZL,Asia & Pacific,"Bluff Harbor, New Zealand",-46.59012995,168.360216,233,43,112,20,0,56,Wood & Wood Products,Metals,Prepared Foodstuffs & Beverages,6.53,2.53,,894ab5e5a18e48b6922c023196f74c8f,New Zealand,5
-164204.3932,7359181.087,port1334,Tynemouth,United Kingdom,GBR,Europe,"Tynemouth, United Kingdom",54.98616295,-1.475073161,444,82,70,115,154,23,Wood & Wood Products,Mineral Products,Prepared Foodstuffs & Beverages,1.18,0.84,GB TYM,c5c5cc67df43466e999530930e8425d1,United Kingdom,6
13439488.08,4551048.912,port897,Penglai,China,CHN,Asia & Pacific,"Penglai, China",37.79885005,120.7289755,171,3,58,104,1,3,Mineral Products,Vegetable Products,Wood & Wood Products,0.06,0.05,,0f79b45e2a6b466682a3e2c4d5d8d3df,China,7
1693740.332,3808549.026,port750,Misrata,Libya,LBY,Africa,"Misrata, Libya",32.34398379,15.21512828,883,385,96,263,66,72,Mineral Products,Metals,Vegetable Products,44.63,9.69,,70d1343f8a804a53bd7d766c3dbed671,Libya,8
5360523.247,3560699.314,port563,Khorramshahr,Iran,IRN,Asia & Pacific,"Khorramshahr, Iran",30.44360334,48.15439964,196,21,4,169,0,1,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.13,0.12,IR KHO,0c2107f4770842e4b68a3986bb94b6c4,Iran,9
14913858.38,4105068.134,port1343,Uno,Japan,JPN,Asia & Pacific,"Uno, Japan",34.56607811,133.9734693,487,0,47,163,4,272,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",0,0.18,,2ab531a159ee4add8bb76a491e2cf25b,Japan,10
12926691.18,-365300.5753,port1224,Stagen,Indonesia,IDN,Asia & Pacific,"Stagen, Indonesia",-3.279758294,116.1224426,438,38,80,95,0,223,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.26,0.5,,1747e111d06f494194eb7b517b3854c4,Indonesia,11
5733908.019,4391133.881,port834,Nowshahr Port,Iran,IRN,Asia & Pacific,"Nowshahr Port, Iran",36.65505162,51.50857211,165,1,0,162,0,1,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,0.76,0.05,,0442995aff114fcbb7180bcb003ebe41,Iran,12
13383120.63,4304306.754,port1069,Qingdao,China,CHN,Asia & Pacific,"Qingdao, China",36.02677905,120.2226181,10151,6805,1227,1056,91,971,Mineral Products,Chemical & Allied Industries,Vegetable Products,5.75,6.72,CN QDG,c27f8d2d036f465d996bcf1429c44926,China,13
14755430,3924675.702,port1345,Uwajima,Japan,JPN,Asia & Pacific,"Uwajima, Japan",33.2210061,132.5502829,70,0,29,33,0,7,Prepared Foodstuffs & Beverages,Mineral Products,Vegetable Products,0,0.01,,d1bba355809847d38cc2a7a30ab7a188,Japan,14
3321505.384,3652942.729,port23,Alexandria,Egypt,EGY,Africa,"Alexandria, Egypt",31.15536502,29.83759053,2942,835,447,1147,141,369,Mineral Products,Vegetable Products,Metals,21.37,7.45,,a068e6e45ebc45ecb3aeda0a5ea19a38,Egypt,15
5359493.108,3381444.528,port743,Mina Al Ahmadi,Kuwait,KWT,Asia & Pacific,"Mina Al Ahmadi, Kuwait",29.0455478,48.14514574,574,35,28,9,4,497,Mineral Products,Chemical & Allied Industries,Vegetable Products,8.26,72.71,,a019490627984d30b93e97fa158d2d0a,Kuwait,16
17215.37368,6922007.99,port1400,Wisbech,United Kingdom,GBR,Europe,"Wisbech, United Kingdom",52.66901607,0.154648333,79,5,0,73,0,0,Wood & Wood Products,Vegetable Products,Mineral Products,0.05,0,GB WIS,debaeedb9dd44523ba7b9b7994db71b9,United Kingdom,17
14561995.76,4016804.547,port1378,Wakamatsu (Kitakyushu),Japan,JPN,Asia & Pacific,"Wakamatsu (Kitakyushu), Japan",33.91060335,130.8126336,5056,185,1156,3129,21,563,Mineral Products,Metals,Chemical & Allied Industries,1.7,1.71,,b03377320188458bb9fdb39ed2bbb51a,Japan,18
13331987.12,4246996.387,port1070,Dongjiakou,China,CHN,Asia & Pacific,"Dongjiakou, China",35.60931763,119.763278,1838,19,858,210,0,750,Mineral Products,Chemical & Allied Industries,Vegetable Products,3.8,1.22,,c5e6bf92ae064185b0723656aa59b07c,China,19
3621294.192,3497253.974,port71,As Suways,Egypt,EGY,Africa,"As Suways, Egypt",29.95100833,32.53063921,221,1,6,87,3,123,Mineral Products,Chemical & Allied Industries,Stone & Glass,0.13,0.47,,985a636a613c43919bfb65a922bd6e6b,Egypt,20
536519.2152,6874666.933,port45,Amsterdam,The Netherlands,NLD,Europe,"Amsterdam, The Netherlands",52.41036165,4.819634112,4596,400,459,1450,92,2194,Mineral Products,Chemical & Allied Industries,Vegetable Products,10.02,16.17,NL AMS,148e0d053aec4eb0a27d53cc6a7ae520,The Netherlands,21
12548118.63,-803716.1646,port1237,Tanjung Perak,Indonesia,IDN,Asia & Pacific,"Tanjung Perak, Indonesia",-7.200873409,112.7216675,6333,2833,320,1887,255,1036,Mineral Products,Prepared Foodstuffs & Beverages,Wood & Wood Products,8.89,3.49,ID SUB,78366a0da4c64d2bbf93abb950d0ad2a,Indonesia,22
15042991.23,4053559.757,port1379,Wakayama-Shimotsu,Japan,JPN,Asia & Pacific,"Wakayama-Shimotsu, Japan",34.18417973,135.1334894,3939,17,689,988,9,2234,Metals,Mineral Products,Chemical & Allied Industries,2,2.07,,4d672891769848a08aa67454c1a270a6,Japan,23
16618603.36,-2425445.316,port458,Hay Point,Australia,AUS,Asia & Pacific,"Hay Point, Australia",-21.28124079,149.287454,1110,0,1109,0,0,0,Mineral Products,Chemical & Allied Industries,Vegetable Products,0.24,7.06,,d3918531627c4747b3fa1ddb322d63ed,Australia,24
-396652.9372,7294408.387,port1402,Workington,United Kingdom,GBR,Europe,"Workington, United Kingdom",54.65091454,-3.56319396,81,4,0,76,0,0,Mineral Products,Wood & Wood Products,Vegetable Products,0.07,0.01,GB WOR,8c850801b4a4451590c6dfb0eeb1b8c9,United Kingdom,25
12093562.75,2473000.893,port1071,Qinzhou,China,CHN,Asia & Pacific,"Qinzhou, China",21.67876784,108.6383226,2676,1005,786,251,0,632,Mineral Products,Vegetable Products,Chemical & Allied Industries,1.57,0.81,,f93233bbee184bf3815bb214789503da,China,26
19817961.47,-4675353.36,port396,Gisborne,New Zealand,NZL,Asia & Pacific,"Gisborne, New Zealand",-38.67590403,178.0277769,122,0,114,8,0,0,Wood & Wood Products,Mineral Products,Vegetable Products,0.04,5.05,NZ GIS,6d1fc125b9464c16a2c001a57b4d890c,New Zealand,27
13319377.81,4855260.726,port1072,Qinhuangdao,China,CHN,Asia & Pacific,"Qinhuangdao, China",39.92645539,119.6500066,2118,86,1754,125,0,152,Mineral Products,Chemical & Allied Industries,Metals,0.15,4.01,,ecba22e319b9411a82c2ce1319e58cf6,China,28
12930507.36,-202655.2378,port1262,Tanah Merah,Indonesia,IDN,Asia & Pacific,"Tanah Merah, Indonesia",-1.820176741,116.1567239,63,0,0,55,0,8,Mineral Products,Machinery & Electrical Equipment,Prepared Foodstuffs & Beverages,0,0.18,,1a38f87a17ef4b0ea570fe4a3eb466f6,Indonesia,29
1472646.565,5746298.952,port1142,San Giorgio,Italy,ITA,Europe,"San Giorgio, Italy",45.78711073,13.22900917,271,7,12,250,0,0,Metals,Mineral Products,Prepared Foodstuffs & Beverages,0.18,0.46,,bb67a6d94b194e29ae42fe1b78d96afd,Italy,30
13427092.51,3763089.783,port1073,Qiwei,China,CHN,Asia & Pacific,"Qiwei, China",31.99831756,120.6176242,4255,58,1686,698,3,1808,Mineral Products,Metals,Vegetable Products,1.52,0.43,,fe1788bd2872444186a111bfe8f19d92,China,31
14533168.72,3832217.61,port1411,Yatsushiro,Japan,JPN,Asia & Pacific,"Yatsushiro, Japan",32.52343634,130.5536759,695,66,268,166,0,194,Mineral Products,Wood & Wood Products,Chemical & Allied Industries,0.23,0.11,,8cecb8b43faa469c87aa4341a5c670e4,Japan,32
-8537761.648,4125600.387,port767,Morehead City,United States,USA,North America,"Morehead City, United States",34.71782416,-76.69601781,126,4,47,64,0,8,Metals,Mineral Products,Vegetable Products,0.17,0.05,US MRH,f50e4edbddb14318b79c42648cc03b67,United States,33
3778431.882,3089225.18,port191,Safaga,Egypt,EGY,Africa,"Safaga, Egypt",26.72555551,33.9422311,213,0,81,127,0,2,Vegetable Products,Mineral Products,Prepared Foodstuffs & Beverages,1.88,2.54,EG SGA,11463b58a3054345a897c7484b631d20,Egypt,34
14740601.31,3956121.473,port1412,Yawatahama,Japan,JPN,Asia & Pacific,"Yawatahama, Japan",33.45700083,132.4170745,107,0,44,4,0,58,Mineral Products,Prepared Foodstuffs & Beverages,Animal & Animal Products,0,0,JP YWH,c9272a71175f4707b00263ec4ea2c273,Japan,35
13299820.92,2971562.331,port370,Fuzhou,China,CHN,Asia & Pacific,"Fuzhou, China",25.77760491,119.4743241,2032,967,336,200,5,522,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,0.4,0.64,CN FZH,019656b8fc54490996b54132f5c8234f,China,36
15212510.65,4159988.274,port1416,Yokkaichi,Japan,JPN,Asia & Pacific,"Yokkaichi, Japan",34.97134904,136.6563083,6406,549,340,345,247,4924,Mineral Products,Chemical & Allied Industries,"Plastics, Rubber, Leather",1.26,1.6,JP YKK,dd33cd2196504a2b97c24ca2738e1043,Japan,37
13213966.34,2856853.686,port1074,Quanzhou,China,CHN,Asia & Pacific,"Quanzhou, China",24.84610329,118.7030793,547,254,55,218,0,19,Prepared Foodstuffs & Beverages,Mineral Products,Vegetable Products,0.11,0.08,CN QZL,f4fde59e85dd489a91cf073a7e2ad4ac,China,38
12995980.32,-994953.1384,port1267,Tanjung Benete,Indonesia,IDN,Asia & Pacific,"Tanjung Benete, Indonesia",-8.901785947,116.7448775,127,13,24,66,0,22,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,0.12,0.35,,89e6172192544d3aaf0ceda304ef1a7c,Indonesia,39
775246.0212,7041474.247,port285,Delfzijl,The Netherlands,NLD,Europe,"Delfzijl, The Netherlands",53.31497835,6.964153498,468,29,58,227,0,152,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.19,0.78,NL DZL,d5234dbc91b74ee7ba55ce1cb833f70e,The Netherlands,40
-446492.2715,589042.875,port4,Abidjan,Côte d'Ivoire,CIV,Africa,"Abidjan, Côte d'Ivoire",5.283956223,-4.010908317,1397,524,415,197,65,194,Mineral Products,Vegetable Products,"Plastics, Rubber, Leather",92.92,61.66,CI ABJ,fb08117c1d8743a4b7c1d8a216d6d975,Cote d'Ivoire,41
3596478.875,3665205.271,port192,Port Said,Egypt,EGY,Africa,"Port Said, Egypt",31.24958629,32.30771942,796,499,33,158,10,94,Mineral Products,Vegetable Products,Chemical & Allied Industries,3.26,3.79,,87392bda133f4d98ac6a7d3ed8d4a6b5,Egypt,42
13306303.43,4211398.244,port1105,Rizhao,China,CHN,Asia & Pacific,"Rizhao, China",35.34890965,119.5325575,2394,463,1597,287,0,44,Mineral Products,Vegetable Products,Prepared Foodstuffs & Beverages,4.72,0.92,CN RZH,86be771c415b406cacf7fa546da2abf2,China,43
16399812.22,-5288716.744,port469,Hobart,Australia,AUS,Asia & Pacific,"Hobart, Australia",-42.84702725,147.3220197,159,0,43,45,0,70,Mineral Products,Vegetable Products,Chemical & Allied Industries,0.87,0.04,AU HBA,e8cf2b63b2604da08236375ba34842e6,Australia,44
15547861.06,4222137.104,port1417,Yokohama,Japan,JPN,Asia & Pacific,"Yokohama, Japan",35.42755553,139.6688123,12578,4525,932,2869,1348,2902,Mineral Products,Vegetable Products,Wood & Wood Products,4.47,7.08,,c1cce71c68f84ff8a3421eb918220ed8,Japan,45
11799771.57,-665080.5404,port1268,Tanjung Geren,Indonesia,IDN,Asia & Pacific,"Tanjung Geren, Indonesia",-5.963722374,105.9991515,814,0,0,8,0,806,Mineral Products,Prepared Foodstuffs & Beverages,Chemical & Allied Industries,1.83,0.08,,fd1ca16b63b54efe8350239d13eb1978,Indonesia,46
